urlid,label
5865,0.8503146981566564
782,0.21134480728519556
6962,0.3786569913896045
7640,0.1636447821576376
3589,0.48378275179121727
6719,0.3754463251638562
3905,0.4095804384692542
9841,0.9348006085769264
7447,0.2662821703613688
4776,0.35903367819552867
2879,0.49347188929031127
2620,0.4451294198897299
10479,0.17708501448994823
1105,0.2589303190746181
1849,0.48727430195070437
8286,0.561004007705604
8344,0.8643177195866236
10486,0.9123269336894712
8661,0.967711280285927
7188,0.2836641338148088
1433,0.9582540550801442
677,0.7110600163943877
469,0.8413134879978316
6988,0.15841343399982066
8024,0.16839890549964326
6896,0.402221305689028
9154,0.3460909178501043
342,0.5587406531681397
50,0.29165073942946007
983,0.14053821337867584
6933,0.3042112138291603
8271,0.18991045460920677
5602,0.29293966785071024
4505,0.21248387874896366
4966,0.9077642926427634
2390,0.3076858755926705
6736,0.43778402919263504
4660,0.9025730053492904
7560,0.8101703597350698
3840,0.5258857024302117
5823,0.7704346039789434
5789,0.9286560238861117
1595,0.21802005012364534
6770,0.6434270429081921
3522,0.8724416446907339
5584,0.8191779142062815
8323,0.8253681980013765
3862,0.5457043978683221
373,0.3105121481446465
7345,0.2818208008106539
7708,0.8762652913629351
1398,0.816183307792036
4298,0.24928937564477732
7467,0.14898251908025792
1878,0.7725620825027095
1832,0.3030029242696187
625,0.38295988474905823
7438,0.20398351479078417
9961,0.8864643588473384
7117,0.28608941504875607
8190,0.2683633370608226
1713,0.6898763610839768
949,0.261461713046225
9246,0.18912199434619464
2326,0.23749921052637135
8942,0.19396581913304134
4458,0.5292156686626683
4659,0.42790939244960857
9522,0.25042900604962537
2497,0.7997411559588194
9836,0.4145423385439774
3808,0.8993579591851159
5575,0.8854692536918259
5714,0.3641033617031641
2490,0.7663748788236777
6812,0.3466250176364219
4335,0.14975714073392726
10014,0.9456617023942405
5889,0.7621013109618693
482,0.8873798376116617
8082,0.13920438665494833
5856,0.8885761679531725
8866,0.41796245790021447
2624,0.9335595159771202
1371,0.7961037820812017
4436,0.18093437777868787
2972,0.927311177517766
3638,0.7492655178635775
6249,0.49346506707202425
7602,0.23938467034725477
9624,0.9432716740793753
7567,0.29141401603987405
6578,0.3000646554830894
7590,0.6703569917456811
8590,0.8115590964113574
